fill	n	group	key	showSelected2	ymin
#4682B4	1000	1	1	Sample Means	0
#4682B4	1000	2	1	Sample Means	0
#4682B4	1000	3	1	Sample Means	0
#4682B4	1000	4	1	Sample Means	0
#4682B4	1000	5	1	Sample Means	0
#4682B4	1000	6	1	Sample Means	0
#4682B4	1000	7	1	Sample Means	0
#4682B4	1000	8	1	Sample Means	0
#4682B4	1000	9	1	Sample Means	0
#4682B4	1000	10	1	Sample Means	0
#4682B4	1000	11	1	Sample Means	0
#4682B4	1000	12	1	Sample Means	0
#4682B4	1000	13	1	Sample Means	0
#4682B4	1000	14	1	Sample Means	0
#4682B4	1000	15	1	Sample Means	0
#4682B4	1000	16	1	Sample Means	0
#4682B4	1000	17	1	Sample Means	0
#4682B4	1000	18	1	Sample Means	0
#4682B4	1000	19	1	Sample Means	0
#4682B4	1000	20	1	Sample Means	0
#4682B4	1000	21	1	Sample Means	0
#4682B4	1000	22	1	Sample Means	0
#4682B4	1000	23	1	Sample Means	0
#4682B4	1000	24	1	Sample Means	0
#4682B4	1000	25	1	Sample Means	0
#4682B4	1000	26	1	Sample Means	0
#4682B4	1000	27	1	Sample Means	0
#4682B4	1000	28	1	Sample Means	0
#4682B4	1000	29	1	Sample Means	0
#4682B4	1000	30	1	Sample Means	0
